WKT,id,lat,lon
POINT (111.768590605431 -2.87152073059982),115,-2.87,111.76859
POINT (111.97604190998 -3.39649190403086),116,-3.40,111.976041
POINT (111.97604190998 -3.39649190403086),117,-3.40,111.976041
POINT (112.032069743208 -2.74782948715212),118,-2.75,112.032069
POINT (112.032069743208 -2.74782948715212),119,-2.75,112.032069
POINT (112.039267271565 -3.344724450268),120,-3.35,112.039267
POINT (112.039267271565 -3.344724450268),121,-3.35,112.039267
POINT (111.950158436411 -3.12365204859952),122,-3.12,111.950158
POINT (111.950158436411 -3.12365204859952),123,-3.12,111.950158
POINT (111.94701582098 -3.03159795312609),124,-3.03,111.947015
POINT (111.94701582098 -3.03159795312609),125,-3.03,111.947015
POINT (111.931542775856 -2.7537366404486),126,-2.75,111.931542
POINT (111.931542775856 -2.7537366404486),127,-2.75,111.931542
POINT (111.940966940102 -3.15166527996007),128,-3.15,111.940966
POINT (111.940966940102 -3.15166527996007),129,-3.15,111.940966
POINT (112.003526347931 -3.21261024575197),130,-3.21,112.003526
POINT (112.003526347931 -3.21261024575197),131,-3.21,112.003526
POINT (111.929283644341 -3.42167657384408),132,-3.42,111.929283
POINT (111.929283644341 -3.42167657384408),133,-3.42,111.929283
POINT (111.934991113441 -3.42424284647092),134,-3.42,111.934991
POINT (111.934991113441 -3.42424284647092),135,-3.42,111.934991
POINT (112.053030468538 -2.95183192533508),136,-2.95,112.05303
POINT (112.053030468538 -2.95183192533508),137,-2.95,112.05303
POINT (111.849413853346 -2.91570763416518),138,-2.92,111.849413
POINT (111.849413853346 -2.91570763416518),139,-2.92,111.849413
POINT (111.982314634151 -3.4410826347546),140,-3.44,111.982314
POINT (111.982314634151 -3.4410826347546),141,-3.44,111.982314
POINT (111.988105493632 -2.6362686871711),142,-2.64,111.988105
POINT (111.988105493632 -2.6362686871711),143,-2.64,111.988105
POINT (111.959038890606 -3.35858966652478),144,-3.36,111.959038
POINT (111.959038890606 -3.35858966652478),145,-3.36,111.959038
POINT (112.147303860187 -2.91351164862624),146,-2.91,112.147303
POINT (112.147303860187 -2.91351164862624),147,-2.91,112.147303
POINT (112.128457652222 -2.91413198068408),148,-2.91,112.128457
POINT (112.128457652222 -2.91413198068408),149,-2.91,112.128457
POINT (111.931223528343 -2.77864675812652),150,-2.78,111.931223
POINT (111.931223528343 -2.77864675812652),151,-2.78,111.931223
POINT (111.949166286958 -3.39289306708137),152,-3.39,111.949166
POINT (111.949166286958 -3.39289306708137),153,-3.39,111.949166
POINT (111.888174988972 -3.24069706231267),154,-3.24,111.888174
POINT (111.888174988972 -3.24069706231267),155,-3.24,111.888174
POINT (112.075473546553 -2.98104348230949),156,-2.98,112.075473
POINT (112.075473546553 -2.98104348230949),157,-2.98,112.075473
POINT (111.955813950505 -3.19967647650386),158,-3.20,111.955813
POINT (111.955813950505 -3.19967647650386),159,-3.20,111.955813
POINT (112.135097796974 -3.1220977186354),160,-3.12,112.135097
POINT (112.135097796974 -3.1220977186354),161,-3.12,112.135097
POINT (111.907847532388 -3.11249292973971),162,-3.11,111.907847
POINT (111.907847532388 -3.11249292973971),163,-3.11,111.907847
POINT (112.121134647445 -3.27341815907659),164,-3.27,112.121134
POINT (112.121134647445 -3.27341815907659),165,-3.27,112.121134
POINT (111.808559970282 -2.93470159817942),166,-2.94,111.808559
POINT (111.808559970282 -2.93470159817942),167,-2.94,111.808559
POINT (112.090757940834 -2.83319734060747),168,-2.83,112.090757
POINT (112.090757940834 -2.83319734060747),169,-2.83,112.090757
POINT (111.96320452909 -3.04804711915284),170,-3.05,111.963204
POINT (111.96320452909 -3.04804711915284),171,-3.05,111.963204
POINT (111.987097060821 -3.19593633103764),172,-3.20,111.987097
POINT (111.987097060821 -3.19593633103764),173,-3.20,111.987097
POINT (111.837634353533 -3.0317931598854),174,-3.03,111.837634
POINT (111.837634353533 -3.0317931598854),175,-3.03,111.837634
POINT (112.120187381846 -3.02362884092297),176,-3.02,112.120187
POINT (112.120187381846 -3.02362884092297),177,-3.02,112.120187
POINT (111.969770097166 -3.39214667671508),178,-3.39,111.96977
POINT (111.969770097166 -3.39214667671508),179,-3.39,111.96977
POINT (111.9753634259 -2.74587393112741),180,-2.75,111.975363
POINT (111.9753634259 -2.74587393112741),181,-2.75,111.975363
POINT (111.992222512611 -2.82790041520178),182,-2.83,111.992222
POINT (111.992222512611 -2.82790041520178),183,-2.83,111.992222
POINT (112.082709518561 -2.9811300927954),184,-2.98,112.082709
POINT (112.082709518561 -2.9811300927954),185,-2.98,112.082709
POINT (111.806963171914 -2.92361785236106),186,-2.92,111.806963
POINT (111.806963171914 -2.92361785236106),187,-2.92,111.806963
POINT (111.83371032923 -3.01047680321974),188,-3.01,111.83371
POINT (111.83371032923 -3.01047680321974),189,-3.01,111.83371
POINT (111.858570212987 -3.11109499502098),190,-3.11,111.85857
POINT (111.858570212987 -3.11109499502098),191,-3.11,111.85857
POINT (112.072601874604 -3.25607792356457),192,-3.26,112.072601
POINT (112.072601874604 -3.25607792356457),193,-3.26,112.072601
POINT (112.17263327863 -3.24937580917347),194,-3.25,112.172633
POINT (112.17263327863 -3.24937580917347),195,-3.25,112.172633
POINT (111.901506017078 -2.79656480562554),196,-2.80,111.901506
POINT (111.901506017078 -2.79656480562554),197,-2.80,111.901506
POINT (111.904532121478 -3.13508640962981),198,-3.14,111.904532
POINT (111.904532121478 -3.13508640962981),199,-3.14,111.904532
POINT (112.009738554461 -3.36451827339251),200,-3.37,112.009738
POINT (112.009738554461 -3.36451827339251),201,-3.37,112.009738
POINT (112.057112933135 -3.22509878714201),202,-3.23,112.057112
POINT (112.057112933135 -3.22509878714201),203,-3.23,112.057112
POINT (111.990002077698 -2.87128578361938),204,-2.87,111.990002
POINT (111.990002077698 -2.87128578361938),205,-2.87,111.990002
POINT (111.960443529834 -2.96823415194823),206,-2.97,111.960443
POINT (111.960443529834 -2.96823415194823),207,-2.97,111.960443
POINT (112.054377273137 -3.08632212920048),208,-3.09,112.054377
POINT (112.054377273137 -3.08632212920048),209,-3.09,112.054377
POINT (112.096109460647 -2.8301067229528),210,-2.83,112.096109
POINT (112.096109460647 -2.8301067229528),211,-2.83,112.096109
POINT (111.852035238421 -3.35669596938677),212,-3.36,111.852035
POINT (111.852035238421 -3.35669596938677),213,-3.36,111.852035
POINT (111.95844255968 -2.6911685509556),214,-2.69,111.958442
POINT (111.95844255968 -2.6911685509556),215,-2.69,111.958442
POINT (112.147985893916 -3.12273050888436),216,-3.12,112.147985
POINT (112.147985893916 -3.12273050888436),217,-3.12,112.147985
POINT (111.971401110087 -3.04473120086177),218,-3.05,111.971401
POINT (111.971401110087 -3.04473120086177),219,-3.05,111.971401
POINT (111.870091997539 -3.25140236868711),220,-3.25,111.870091
POINT (111.870091997539 -3.25140236868711),221,-3.25,111.870091
POINT (112.037560928599 -2.73262215640107),222,-2.73,112.03756
POINT (112.037560928599 -2.73262215640107),223,-2.73,112.03756
POINT (112.109130984809 -3.08780792860261),224,-3.09,112.10913
POINT (112.109130984809 -3.08780792860261),225,-3.09,112.10913
POINT (111.814210668414 -3.52335993368457),226,-3.52,111.81421
POINT (111.814210668414 -3.52335993368457),227,-3.52,111.81421
POINT (111.983603060988 -2.84260403937019),228,-2.84,111.983603
POINT (111.983603060988 -2.84260403937019),229,-2.84,111.983603
POINT (111.987586136036 -2.7305262177979),230,-2.73,111.987586
POINT (111.987586136036 -2.7305262177979),231,-2.73,111.987586
POINT (112.094916551701 -3.19237013881822),232,-3.19,112.094916
POINT (112.094916551701 -3.19237013881822),233,-3.19,112.094916
POINT (111.928601125208 -3.12066937652356),234,-3.12,111.928601
POINT (111.928601125208 -3.12066937652356),235,-3.12,111.928601
POINT (112.031512560424 -3.29994256459944),236,-3.30,112.031512
POINT (112.031512560424 -3.29994256459944),237,-3.30,112.031512
POINT (111.91084829381 -3.37815496102581),238,-3.38,111.910848
POINT (111.91084829381 -3.37815496102581),239,-3.38,111.910848
POINT (111.905817248155 -2.75151940771375),240,-2.75,111.905817
POINT (111.905817248155 -2.75151940771375),241,-2.75,111.905817
POINT (111.93715532821 -2.62082153195701),242,-2.62,111.937155
POINT (111.93715532821 -2.62082153195701),243,-2.62,111.937155
POINT (111.890389233114 -3.49333208941925),244,-3.49,111.890389
POINT (111.890389233114 -3.49333208941925),245,-3.49,111.890389
POINT (112.192069562915 -3.08633681987452),246,-3.09,112.192069
POINT (112.192069562915 -3.08633681987452),247,-3.09,112.192069
POINT (111.973197409236 -2.74303966768799),248,-2.74,111.973197
POINT (111.973197409236 -2.74303966768799),249,-2.74,111.973197
POINT (112.158031161632 -3.11333536746772),250,-3.11,112.158031
POINT (112.158031161632 -3.11333536746772),251,-3.11,112.158031
POINT (111.796855706577 -2.85985419974916),252,-2.86,111.796855
POINT (111.796855706577 -2.85985419974916),253,-2.86,111.796855
POINT (112.060270537206 -3.15732814688252),254,-3.16,112.06027
POINT (112.060270537206 -3.15732814688252),255,-3.16,112.06027
POINT (111.851231141149 -3.08977142768981),256,-3.09,111.851231
POINT (111.851231141149 -3.08977142768981),257,-3.09,111.851231
POINT (111.895736045112 -3.52323448389116),258,-3.52,111.895736
POINT (111.895736045112 -3.52323448389116),259,-3.52,111.895736
POINT (111.879528506486 -3.06966354205011),260,-3.07,111.879528
POINT (111.879528506486 -3.06966354205011),261,-3.07,111.879528
POINT (112.13025450911 -2.89480451229803),262,-2.90,112.130254
POINT (112.13025450911 -2.89480451229803),263,-2.90,112.130254
POINT (112.095652606176 -3.17557263903461),264,-3.18,112.095652
POINT (112.095652606176 -3.17557263903461),265,-3.18,112.095652
POINT (112.118751680441 -3.03455426922488),266,-3.04,112.118751
